# code,name,lat,lon,apt,type,country code
DND05, , 56.4582, -3.1868, EGPN, Terminal, UK
DND08, , 56.4621, -3.2767, EGPN, Terminal, UK
DND18, , 56.4483, -3.17, EGPN, Terminal, UK
DND26, , 56.4341, -3.2727, EGPN, Terminal, UK
DND50, , 56.4172, -3.2689, EGPN, Terminal, UK
DND51, , 56.4178, -3.2625, EGPN, Terminal, UK
DND58, , 56.4299, -3.2741, EGPN, Terminal, UK
DNG, , 28.1117, 82.2917, VNSM, High and Low Level, NP
DNP, , 48.3595, 35.1025, UKDD, High and Low Level, UP
DNV, , -29.9722, 30.9512, FAJS, High and Low Level, SF
DNV04, , -30.0218, 30.8998, FADN, Terminal, SF
DNV07, , -30.059, 30.8612, FADN, Terminal, SF
DNV29, , -30.0082, 30.9139, FADN, Terminal, SF
DNV30, , -29.9201, 30.7289, FADN, Terminal, SF
DNV70, , -30.0843, 30.9321, FADN, Terminal, SF
DNV77, , -29.8741, 31.0243, FADN, Terminal, SF
DNV99, , -29.9084, 31.0901, FADN, Terminal, SF
DNZ, , 36.6446, 53.1904, OIIX, High and Low Level, IR
DO, , -12.3463, 49.2894, FMMM, High Level, MA
DO, , -6.1688, 35.7455, HTDC, High Level, TZ
DO, , 26.545, 117.9867, ZSAM, High and Low Level, CH
DO, , 45.3764, 33.3601, UKFV, Low Level, UP
DOBAK, , 53.2133, 7.2169, EHAA, High and Low Level, NL
DOBAN, , 59.7994, 24.4525, EFES, RNAV, FI
DOBAR, , -18.5408, 46.5019, FMMM, High Level, MA
DOBAR, , 41.3328, 20.4947, LAAA, High and Low Level, AL
DOBAS, , 34.0142, 51.5989, OIIX, RNAV, IR
DOBAT, , 25.3336, 68.9167, OPKR, High and Low Level, PK
DOBEL, , 55.6061, 11.3899, EKDK, RNAV, DA
DOBEM, , 51.8694, -2.9292, EGTT, High and Low Level, UK
DOBEN, , 49.7733, 13.5615, LKAA, RNAV, EZ
DOBIL, , 50.0387, 15.9374, LKAA, RNAV, EZ
DOBIM, , 42.9539, 9.75, LFMM, High and Low Level, FR
DOBIX, , 36.5, 12.1267, LMMM, RNAV, MT
DOBLI, , 1.9936, -74.1736, SKED, RNAV, CO
DOBNI, , -15.7186, -69.3817, SPIM, RNAV, PE
DOBOS, , 51.9567, 103.9867, UIII, High and Low Level, RS
DOBUR, , 51.6981, 13.535, EDBB, RNAV, GM
DOBUT, , -19.3359, 53.4197, FMMM, High Level, RE
DOBUT, , 67.1133, 45.4467, ULAM, High and Low Level, RS
DOC, , 35.904, 128.6416, RKTN, Terminal, KS
DOC06, , 35.8386, 128.7606, RKTN, Terminal, KS
DOC07, , 35.8369, 128.7592, RKTN, Terminal, KS
DOC08, , 35.8199, 128.7945, RKTN, Terminal, KS
DOC09, , 35.8178, 128.7927, RKTN, Terminal, KS
DOC10, , 35.9691, 128.4526, RKTN, Terminal, KS
DOC11, , 35.8315, 128.9145, RKTN, Terminal, KS
DOC12, , 35.789, 128.843, RKTN, Terminal, KS
DOC13, , 35.7918, 128.8454, RKTN, Terminal, KS
DOC14, , 35.805, 128.9016, RKTN, Terminal, KS
DOC18, , 35.8872, 128.6722, RKTN, Terminal, KS
DOC21, , 35.7922, 128.8484, RKTN, Terminal, KS
DOC25, , 35.8801, 128.6836, RKTN, Terminal, KS
DOC27, , 35.8783, 128.6897, RKTN, Terminal, KS
DOC31, , 35.7731, 128.8793, RKTN, Terminal, KS
DOC70, , 35.8385, 128.7631, RKTN, Terminal, KS
DOC80, , 35.82, 128.7973, RKTN, Terminal, KS
DOC99, , 35.7698, 128.8765, RKTN, Terminal, KS
DODAK, , 31.0489, 53.6611, OIIX, High and Low Level, IR
DODAM, , 60.0444, 19.3017, EFES, RNAV, FI
DODAN, , 53.3528, 15.4272, EPRL, High and Low Level, PL
DODAR, , 47.2145, 19.5275, LHCC, RNAV, HU
DODEK, , 52.3903, 19.6717, EPWA, High and Low Level, PL
DODEL, , 37.6017, 16.1922, LIRR, RNAV, IT
DODEN, , 50.6172, 8.0825, EDFF, RNAV, GM
DODIL, , 48.7325, 10.5736, EDMM, RNAV, GM
DODIP, , 51.6889, 12.5836, EDDI, Terminal, GM
DODOK, , 45.2389, 76.0031, UAAA, High and Low Level, KZ
DODON, , -21.9167, 65.0, FIMM, High and Low Level, MP
DODUD, , 26.6003, 85.0144, VECF, High and Low Level, IN
DODUG, , 11.9508, 114.7427, RPHI, RNAV, RP
DODUL, , 46.06, 71.8853, UAAA, High and Low Level, KZ
DODUR, , 41.3833, 68.8, UAII, High and Low Level, KZ
DOFIN, , -16.5633, -149.7225, NTAA, Terminal, FP
DOFIN, , 21.0658, 111.8128, VHHH, Terminal, HK
DOG, , 19.1826, 30.4273, HSSS, High and Low Level, SU
DOGAL, , 54.0, -15.0, EINN, RNAV, EI
DOGAN, , 39.7877, 32.5703, LTAD, Terminal, TU
DOGAR, , -2.0, 87.8383, VCCC, High and Low Level, CE
DOGEL, , 59.23, 54.615, USPP, High and Low Level, RS
DOGET, , 21.1174, 66.0003, VABF, RNAV, IN
DOGGI, , 58.9772, 6.5467, ENZV, Terminal, NO
DOGGS, , 42.3942, -81.0812, CZYZ, Low Level, CA
DOGGY, , 76.35, -75.8333, BGGL, High and Low Level, GL
DOGIT, , 53.1728, -3.1519, EGTT, RNAV, UK
DOGLO, , -4.1398, -69.5943, SBAZ, RNAV, BR
DOGNA, , -13.1605, -41.771, SBAZ, High Level, BR
DOGOD, , 13.2139, 63.0007, VABF, High and Low Level, IN
DOGOG, , 5.4217, 114.1283, WBFC, High and Low Level, MY
DOGON, , 13.595, 4.365, DNKK, High and Low Level, NI
DOGOT, , 75.9717, 83.9567, ULDD, High and Low Level, RS
DOGSA, , -20.4257, -165.0, NZZO, High and Low Level, NZ
DOGUS, , 41.02, 15.7033, LIBB, RNAV, IT
DOH, , 25.2336, 51.5772, OBBB, High and Low Level, QA
DOH01, , 25.1561, 51.6116, OTBD, Terminal, QA
DOH03, , 25.1871, 51.5978, OTBD, Terminal, QA
DOH05, , 25.3189, 51.5393, OTBD, Terminal, QA
DOH08, , 25.1357, 51.6774, OTBD, Terminal, QA
DOH10, , 25.3886, 51.5082, OTBD, Terminal, QA
DOH30, , 25.2801, 51.5565, OTBD, Terminal, QA
DOH35, , 25.4009, 51.574, OTBD, Terminal, QA
DOH50, , 25.1677, 51.6059, OTBD, Terminal, QA
DOH68, , 25.339, 51.5303, OTBD, Terminal, QA
DOH80, , 25.1096, 51.6322, OTBD, Terminal, QA
DOH99, , 25.198, 51.5925, OTBD, Terminal, QA
DOHAE, , 39.3833, 132.4317, ZKKP, High and Low Level, KN
DOHER, , 14.3073, 120.7468, RPLL, RNAV, RP
DOHRT, , 0.0, 156.8333, AYPY, High and Low Level, PP
DOKAM, , 47.025, 58.5561, UATT, High Level, KZ
DOKAN, , 39.4817, 57.9933, UTAA, High and Low Level, TX
DOKAR, , 42.5008, 9.75, LFMM, RNAV, FR
DOKAS, , 37.2325, -23.3644, LPPC, High and Low Level, PO
DOKEK, , 51.4217, -6.0581, EGTT, High Level, UK
DOKEL, , 50.6276, 14.8224, LKAA, RNAV, EZ
DOKEN, , 48.9498, 35.065, UKDD, High and Low Level, UP
DOKET, , -6.4605, 116.1661, WADZ, High and Low Level, ID
DOKET, , 15.5568, 81.8402, VOMF, High and Low Level, IN
DOKUR, , 58.2333, 124.91, UELL, High and Low Level, RS
DOKUS, , 50.4275, 51.5911, UARR, High and Low Level, KZ
DOKUT, , 52.8039, 65.2083, UAUA, High and Low Level, KZ
DOL, , 46.0841, 14.7786, LJLA, High and Low Level, SI
DOL14, , 46.2517, 14.545, LJLJ, Terminal, SI
DOL36, , 46.173, 14.7808, LJLJ, Terminal, SI
DOLAN, , 31.8417, 64.65, OAKX, Low Level, AF
DOLAP, , 43.3742, 22.7683, LBSF, High and Low Level, BU
DOLAR, , 45.9547, 12.4889, LIPA, Terminal, IT
DOLAS, , 52.9786, 1.0008, EGTT, High Level, UK
DOLBY, , 28.4088, 77.1528, VIDP, Terminal, IN
DOLDE, , 48.5756, -1.7028, LFRR, Low Level, FR
DOLEM, , 2.5606, 96.5019, WIIZ, RNAV, ID
DOLER, , 39.2681, -26.38, LPPC, High and Low Level, PO
DOLES, , 40.4078, -4.0691, LECM, RNAV, SP
DOLFF, , 48.3333, -128.0, CZVR, High Level, CA
DOLFI, , 33.2133, 17.72, HLLL, High and Low Level, LY
DOLFI, , 58.8881, 4.6744, ENZV, Terminal, NO
DOLFN, , 42.2131, -81.6536, CZYZ, Low Level, CA
DOLIB, , -20.5575, 144.4169, YBBB, High and Low Level, AS
DOLIP, , 52.0, -12.0, EINN, High Level, EI
DOLIR, , 58.615, 87.9583, UNKL, High and Low Level, RS
DOLIS, , 39.0, 5.3667, DAAA, High and Low Level, AG
DOLIT, , 51.5492, 11.8747, EDDP, Terminal, GM
DOLLR, , 49.3367, -122.9383, CZVR, Low Level, CA
DOLMA, , 43.8, 132.65, UHWW, High and Low Level, RS
DOLOM, , 44.7072, 14.8761, LDLD, RNAV, HR
DOLON, , 40.8892, 17.5944, LIBB, RNAV, IT
DOLOP, , 54.5625, -1.9958, EGTT, High Level, UK
DOLOS, , 37.8341, 58.0336, OIIX, High and Low Level, IR
DOLOT, , 43.7014, 33.4685, UKFF, High and Low Level, UP
DOLOX, , 4.8114, 105.3797, WSJC, RNAV, SN
DOLPO, , 11.0608, -70.0197, SVZM, RNAV, VE
DOLSI, , -25.0, 174.685, NZZO, High and Low Level, NZ
DOLTA, , -5.1261, 105.9249, WIIZ, High and Low Level, ID
DOLUR, , 49.4844, -5.0572, EGTT, High Level, UK
DOM, , -9.815, 148.5133, AYPY, High and Low Level, PP
DOM, , 15.5509, -61.2956, TTZP, Low Level, DO
DOM, , 51.7095, 7.5871, EDDU, High and Low Level, GM
DOMAK, , 37.69, 63.31, UTAV, Terminal, TX
DOMAL, , 49.0946, 13.4286, LKAA, RNAV, EZ
DOMAN, , 52.5517, 24.8433, UMMM, RNAV, BO
DOMAP, , 15.7014, 97.3631, VYRR, High and Low Level, BM
DOMAX, , -15.5398, -175.6726, NFFF, High and Low Level, FJ
DOMET, , 25.1418, 81.4417, VIDF, High and Low Level, IN
DOMIC, , -15.3905, -53.666, SBBS, RNAV, BR
DOMIL, , -3.9189, 105.2383, WIIZ, High and Low Level, ID
DOMIL, , 46.9586, 6.3147, LFEE, High Level, FR
DOMIM, , -21.9745, -51.8158, SBCW, Low Level, BR
DOMIN, , -24.717, -49.152, SBBS, High Level, BR
DOMOD, , 47.8628, 1.2858, LFFF, High and Low Level, FR
DOMOL, , 39.9017, 59.0867, UTAA, High and Low Level, TX
DOMOM, , -16.4369, 115.1328, YBBB, High and Low Level, AS
DOMON, , -39.2271, 177.1841, NZZC, High and Low Level, NZ
DOMON, , 51.1167, 132.9833, UHHH, High and Low Level, RS
DOMOR, , 54.3117, 103.225, UIBB, High and Low Level, RS
DOMUK, , 58.4, 28.5417, ULLL, High and Low Level, RS
DOMUX, , 51.4197, 7.5364, EDLL, RNAV, GM
DON, , 48.0718, 37.7359, UKHV, High and Low Level, UP
DONA, , -22.0578, -42.694, SBGL, Terminal, BR
DONAB, , 49.8211, 8.0292, EDFF, RNAV, GM
DONAD, , 50.0808, 13.0, LKAA, RNAV, EZ
DONAN, , 27.8589, 129.2718, RORG, High and Low Level, JA
DONAR, , 33.3514, 132.4846, RJTG, High and Low Level, JA
DONAS, , 33.6975, -6.575, GMMM, High and Low Level, MO
DONAX, , 48.7403, 9.7575, EDDS, Terminal, GM
DONBY, , 36.8772, 126.5695, RKSS, Terminal, KS
DONDA, , 14.7, 112.0167, VVTS, RNAV, VM
DONDI, , 10.6803, 76.5922, VOMF, High and Low Level, IN
DONDU, , 37.5864, 37.0581, LTAA, High and Low Level, TU
DONGA, , -29.5769, 115.0106, YMMM, High and Low Level, AS
DONGI, , 17.7119, 106.6453, VVGL, High and Low Level, VM
DONIC, , -33.3797, 151.9078, YBBB, High and Low Level, AS
DONIS, , 49.9306, 8.8594, EDFF, RNAV, GM
DONIX, , 48.6933, 10.7545, ETUU, Terminal, GM
DONJI, , 44.1477, 17.4066, LQTZ, Terminal, BK
DONKA, , -30.4111, -64.3931, SACU, High and Low Level, AR
DONLA, , 27.7, 104.3983, ZUUU, High and Low Level, CH
DONNA, , 14.1131, 100.7209, VTBD, Terminal, TH
DONNA, , 51.7, -0.7436, EGLL, Terminal, UK
DONOR, , -30.4525, -53.1565, SBBS, High Level, BR
DONOS, , 43.2838, -1.4914, LECM, Low Level, SP
DONOX, , 53.9132, -8.8184, EIEI, Low Level, EI
DONRE, , -16.2688, -56.3907, SBBS, Low Level, BR
DONSA, , 14.5885, 65.1926, VABF, High and Low Level, IN
DONUP, , 42.6331, 69.82, UAII, High and Low Level, KZ
DONUR, , 47.5061, 75.0106, UAAH, High and Low Level, KZ
DONUS, , 54.9967, 64.935, USUU, High and Low Level, RS
DONVO, , 37.5667, 123.3333, ZSHA, High and Low Level, CH
DONYA, , -11.5144, 129.9069, YBBB, High and Low Level, AS
DOPAN, , 52.2036, 62.9003, UAUA, High and Low Level, KZ
DOPAR, , 48.3086, 68.3747, UAUA, High and Low Level, KZ
DOPAT, , -20.9175, 125.6578, YBBB, High and Low Level, AS
DOPDO, , 4.5414, 74.2894, VRMF, High and Low Level, MV
DOPEK, , 53.3844, -0.9256, EGTT, Low Level, UK
DOPEL, , 38.5275, 8.8836, DTTC, High and Low Level, TS
DOPEN, , 39.7553, -4.3836, LECM, High and Low Level, SP
DOPHN, , 44.555, -55.4833, CZQM, High Level, CA
DOPID, , 20.9176, 89.2045, VECF, High and Low Level, IN
DOPIL, , 47.07, 8.0167, LSAG, RNAV, SZ
DOPIN, , 48.2192, 2.7547, LFPB, Terminal, FR
DOPNO, , 35.0, 123.45, ZSHA, High and Low Level, CH
DOPOM, , -43.8388, 177.6072, NZZO, High and Low Level, NZ
DOPOS, , 28.8167, 79.0318, VIDF, High and Low Level, IN
DOPOV, , 50.0808, 13.1251, LKAA, RNAV, EZ
DOPUK, , -18.2428, 127.4192, YBBB, High and Low Level, AS
DOPUS, , 35.2719, 28.3592, LGGG, RNAV, GR
DORAB, , 23.8425, 59.7961, OOMM, RNAV, MU
DORAD, , 40.4783, 7.3883, LFMM, High and Low Level, FR
DORAM, , 15.7179, 77.3488, VOMF, High and Low Level, IN
DORAS, , 39.5989, 13.06, LIRR, RNAV, IT
DORAT, , 35.9908, 13.5397, LMMM, RNAV, MT
DORAV, , 44.3264, 8.8522, LIMM, RNAV, IT
DORCH, , 38.0852, 149.2517, RJTG, High and Low Level, JA
DORDI, , 48.22, 2.7919, LFPV, Terminal, FR
DOREM, , 52.2003, 17.4369, EPEP, Low Level, PL
DOREN, , 35.9322, 33.2828, LTAA, High and Low Level, TU
DORER, , 50.4656, 27.206, UKLV, High and Low Level, UP
DOREX, , 31.1467, 104.38, ZPKM, High and Low Level, CH
DORIA, , -0.9664, 119.2365, WIIZ, High and Low Level, ID
DORIL, , 19.4259, 84.2146, VECF, High and Low Level, IN
DORKI, , 51.2758, -0.2644, EGLL, Terminal, UK
DORLI, , 3.6558, -53.4547, SOCA, High and Low Level, FG
DORMI, , 40.8711, 0.3849, LECB, High and Low Level, SP
DORNO, , -14.9867, -56.1112, SBBS, Low Level, BR
DORSI, , -43.2569, -70.65, SAVF, Low Level, AR
DORUK, , 39.2917, 42.175, LTAA, High and Low Level, TU
DORUL, , 57.4683, 126.285, UELL, High and Low Level, RS
DORUT, , 48.1992, 114.8609, ZMUB, High and Low Level, MG
DORVO, , -34.7161, -57.5172, SAEU, High and Low Level, AR
DOSAD, , 47.1074, 19.0232, LHBP, Terminal, HU
DOSAK, , 52.0122, 78.2033, UAUA, High and Low Level, KZ
DOSAM, , -16.9028, 133.2, YBBB, High and Low Level, AS
DOSAT, , 21.6924, 81.3066, VABF, High and Low Level, IN
DOSEL, , -37.165, 145.3953, YMMM, RNAV, AS
DOSEL, , 50.6219, 7.215, EDLL, Low Level, GM
DOSEX, , 51.1825, 5.9348, EHBK, Terminal, NL
DOSHI, , 35.6, 68.4417, OAKX, High and Low Level, AF
DOSIK, , 1.7644, 102.0436, WMFC, High and Low Level, MY
DOSIR, , 44.8518, 22.9778, LRBB, RNAV, RO
DOSIS, , 49.2386, 11.4067, EDFF, RNAV, GM
DOSOR, , 41.9506, 69.2069, UAII, High and Low Level, KZ
DOSRA, , 10.8914, -65.962, SVZM, High and Low Level, VE
DOSTI, , 25.9669, 65.0503, OPKR, High and Low Level, PK
DOSUL, , 43.6805, -3.3167, LECM, Low Level, SP
DOSUR, , 54.8586, 9.1942, EDVV, RNAV, GM
DOSUS, , 14.4011, 119.5079, RPRP, High and Low Level, RP
DOSUT, , 17.0333, 113.68, ZJSY, RNAV, CH
DOTAK, , 50.4576, 14.2822, LKAA, RNAV, EZ
DOTAM, , 42.3567, 23.4069, LBBU, Low Level, BU
DOTAP, , -20.1547, 136.7239, YBBB, RNAV, AS
DOTAT, , 10.4016, 74.1909, VOMF, RNAV, IN
DOTEN, , 10.7428, 89.9973, VOMF, RNAV, IN
DOTIK, , -19.6016, -159.7891, NZZO, High and Low Level, NZ
DOTIP, , 20.758, 72.9463, VABF, High and Low Level, IN
DOTIR, , 1.3453, 130.1588, WABZ, High and Low Level, ID
DOTMI, , 22.7183, 116.1683, VHHH, High and Low Level, HK
DOTOD, , -15.24, 149.0697, YBBB, High and Low Level, AS
DOTOP, , -32.105, 119.08, YMMM, High and Low Level, AS
DOTOR, , 25.7792, -99.2075, MMTY, High Level, MX
DOTRI, , -38.54, -61.0078, SAEF, High and Low Level, AR
DOTRO, , 11.2206, -74.0517, SKEC, Low Level, CO
DOTTY, , 50.6333, -55.5833, CZQX, High Level, CA
DOVAG, , 28.5839, 133.8142, RJTG, High and Low Level, JA
DOVE, , 36.6613, 127.76, RKTU, Terminal, KS
DOVKE, , 31.628, 66.0543, OAKN, Terminal, AF
DOVOL, , 3.5133, 103.8233, WSJC, RNAV, SN
DOVOM, , -28.6731, 163.0, NFFF, High and Low Level, FJ
DOVUM, , 6.7931, 96.0428, WMFC, High and Low Level, MY
DOWNI, , 57.0764, -2.1062, EGPD, Terminal, UK
DOWNR, , 14.0622, -87.5612, MHSC, Terminal, HO
DOWNS, , 49.9639, -97.3217, CZWG, Terminal, CA
DOXAR, , 12.3667, 110.3783, VVTS, RNAV, VM
DOXAS, , 39.1467, 116.9017, ZBPE, High and Low Level, CH
DOXIE, , -31.1383, 148.1017, YMMM, High and Low Level, AS
DOXIS, , -45.0439, 169.1248, NZQN, Terminal, NZ
DOZ, , -32.8319, -68.7908, SAMV, High and Low Level, AR
DOZ08, , -32.8548, -68.7925, SAME, Terminal, AR
DOZ11, , -33.024, -68.7911, SAME, Terminal, AR
DOZ14, , -32.8439, -68.5141, SAME, Terminal, AR
DOZ16, , -33.063, -68.7474, SAME, Terminal, AR
DOZ61, , -32.9433, -68.7921, SAME, Terminal, AR
DOZ85, , -32.9906, -68.7914, SAME, Terminal, AR
DOZEN, , 35.9844, 133.2544, RJRJ, High and Low Level, JA
DP, , 28.5834, 76.9988, VIDP, Terminal, IN
DPE, , 49.9254, 1.1706, LFFF, High and Low Level, FR
DPE06, , 50.0, 1.0792, LFFF, Low Level, FR
DPH, , 30.6645, 132.1465, RJTG, Terminal, JA
DPN, , 28.5667, 77.0949, VIDF, High and Low Level, IN
DPN00, , 28.5708, 77.0693, VIDP, Terminal, IN
DPN01, , 28.812, 77.1541, VIDP, Terminal, IN
DPN03, , 28.569, 77.1516, VIDP, Terminal, IN
DPN05, , 28.586, 77.0028, VIDP, Terminal, IN
DPN09, , 28.5178, 77.3541, VIDP, Terminal, IN
DPN10, , 28.4889, 77.3649, VIDP, Terminal, IN
DPN11, , 28.4993, 77.3289, VIDP, Terminal, IN
DPN12, , 28.7793, 77.1462, VIDP, Terminal, IN
DPN13, , 28.3886, 77.2359, VIDP, Terminal, IN
DPN14, , 28.3612, 77.2575, VIDP, Terminal, IN
DPN15, , 28.7948, 77.1546, VIDP, Terminal, IN
DPN16, , 28.3495, 77.1034, VIDP, Terminal, IN
DPN17, , 28.316, 77.1048, VIDP, Terminal, IN
DPN18, , 28.8284, 77.158, VIDP, Terminal, IN
DPN19, , 28.7957, 77.1501, VIDP, Terminal, IN
DPN20, , 28.3864, 76.9574, VIDP, Terminal, IN
DPN21, , 28.3587, 76.9363, VIDP, Terminal, IN
DPN22, , 28.6174, 76.7972, VIDP, Terminal, IN
DPN23, , 28.6111, 76.8344, VIDP, Terminal, IN
DPN24, , 28.3448, 76.9257, VIDP, Terminal, IN
DPN25, , 28.3726, 76.9468, VIDP, Terminal, IN
DPN26, , 28.7622, 77.1461, VIDP, Terminal, IN
DPN27, , 28.5725, 77.0005, VIDP, Terminal, IN
DPN28, , 28.608, 76.8531, VIDP, Terminal, IN
DPN29, , 28.6444, 76.8648, VIDP, Terminal, IN
DPN30, , 28.5621, 77.1505, VIDP, Terminal, IN
DPN31, , 28.75, 76.9008, VIDP, Terminal, IN
DPN32, , 28.7256, 76.9267, VIDP, Terminal, IN
DPN33, , 28.7376, 76.8867, VIDP, Terminal, IN
DPN34, , 28.7149, 76.9145, VIDP, Terminal, IN
DPN35, , 28.7622, 76.8878, VIDP, Terminal, IN
DPN36, , 28.7378, 76.9137, VIDP, Terminal, IN
DPN37, , 28.749, 76.8728, VIDP, Terminal, IN
DPN38, , 28.7262, 76.9006, VIDP, Terminal, IN
DPN40, , 28.5836, 77.0145, VIDP, Terminal, IN
DPN41, , 28.7134, 76.9396, VIDP, Terminal, IN
DPN44, , 28.3749, 77.2467, VIDP, Terminal, IN
DPN45, , 28.3474, 77.2683, VIDP, Terminal, IN
DPN48, , 28.4003, 76.968, VIDP, Terminal, IN
DPN50, , 28.3676, 77.0672, VIDP, Terminal, IN
DPN51, , 28.8111, 77.1589, VIDP, Terminal, IN
DPN52, , 28.7035, 76.9284, VIDP, Terminal, IN
DPN53, , 28.7785, 77.1504, VIDP, Terminal, IN
DPN60, , 28.592, 76.9778, VIDP, Terminal, IN
DPN61, , 28.7722, 77.0145, VIDP, Terminal, IN
DPN62, , 28.5882, 76.98, VIDP, Terminal, IN
DPN63, , 28.5868, 76.9777, VIDP, Terminal, IN
DPN65, , 28.6048, 76.8717, VIDP, Terminal, IN
DPN71, , 28.5741, 76.8488, VIDP, Terminal, IN
DPN72, , 28.5779, 76.8489, VIDP, Terminal, IN
DPN73, , 28.3662, 77.1028, VIDP, Terminal, IN
DPN75, , 28.5892, 76.8499, VIDP, Terminal, IN
DPN77, , 28.2993, 77.1054, VIDP, Terminal, IN
DPN78, , 28.3328, 77.1041, VIDP, Terminal, IN
DPN83, , 28.4023, 77.225, VIDP, Terminal, IN
DPN84, , 28.6228, 76.8569, VIDP, Terminal, IN
DPN85, , 28.351, 77.0649, VIDP, Terminal, IN
DPN86, , 28.3178, 77.0603, VIDP, Terminal, IN
DPN87, , 28.3344, 77.0626, VIDP, Terminal, IN
DPN88, , 28.3012, 77.058, VIDP, Terminal, IN
DPN89, , 28.6409, 76.8633, VIDP, Terminal, IN
DPN91, , 28.5632, 77.3598, VIDP, Terminal, IN
DPN93, , 28.655, 76.8697, VIDP, Terminal, IN
DPN95, , 28.4786, 77.299, VIDP, Terminal, IN
DPN99, , 28.5146, 77.3143, VIDP, Terminal, IN
DPO, , -41.17, 146.4342, YMMM, High and Low Level, AS
DQ, , 55.7278, -120.0683, CZEG, Low Level, CA
DR, , 4.7191, -74.1597, SKBO, Terminal, CO
DR, , 55.2167, 37.3667, UUWV, High and Low Level, RS
DR001, , 49.2306, 7.4179, EDDR, Terminal, GM
DR003, , 49.2214, 7.3539, EDDR, Terminal, GM
DR004, , 49.2151, 7.128, EDDR, Terminal, GM
DR020, , 49.2136, 7.0775, EDDR, Terminal, GM
DR021, , 49.1945, 6.9298, EDDR, Terminal, GM
DR022, , 49.2176, 6.9007, EDDR, Terminal, GM
DR023, , 49.2434, 6.9039, EDDR, Terminal, GM
DRA, , 59.7333, 10.1125, ENBD, Terminal, NO
DRACA, , -34.4233, -56.3742, SUEO, Low Level, UY
DRAFF, , -18.4332, -51.7175, SBBS, High Level, BR
DRAGN, , 33.5647, 132.29, RJTG, High and Low Level, JA
DRAGN, , 37.2183, 127.416, RKSO, Terminal, KS
DRAGO, , 23.1461, -103.065, MMZT, High and Low Level, MX
DRAGO, , 40.0078, 1.7657, LECB, High and Low Level, SP
DRAGO, , 52.91, -122.2833, CZVR, Low Level, CA
DRAGU, , 47.0516, 23.5487, LRBB, Low Level, RO
DRAKE, , -59.3082, -63.5956, SCCZ, High and Low Level, CI
DRAKE, , 50.2094, -0.0761, EGTT, High and Low Level, UK
DRAMA, , -19.7107, -43.2638, SBBS, Low Level, BR
DRAMO, , 43.4189, 6.8471, LFMN, Terminal, FR
DRE, , 52.8169, 15.8325, EPRL, High and Low Level, PL
DRE31, , -16.5019, 145.6867, YBCS, Terminal, AS
DREAM, , 35.6478, 139.8465, RJTT, Terminal, JA
DREWS, , -16.1164, 145.3272, YBBB, High and Low Level, AS
DRG, , 27.4871, 95.0211, VECF, High and Low Level, IN
DRINA, , -35.4203, 139.235, YMMM, High and Low Level, AS
DRINK, , -15.6827, -39.5522, SBBS, RNAV, BR
DRIVR, , 36.8895, 148.4756, RJTG, High and Low Level, JA
DRN, , 51.0155, 13.5989, EDBB, RNAV, GM
DROME, , 42.7249, -82.3975, CZYZ, Terminal, CA
DROMI, , 62.995, -26.5067, BIKF, High and Low Level, IC
DRUMO, , -29.5053, 157.6114, YBBB, High and Low Level, AS
DRUNK, , -12.4223, -44.9208, SBBS, High Level, BR
DRVAR, , 44.3519, 16.5939, LQSB, High and Low Level, BK
DRW01, , 49.2137, 7.116, EDFF, Terminal, GM
DRW03, , 49.2715, 7.2999, EDDR, Terminal, GM
DRW04, , 49.2195, 7.2945, EDFF, Terminal, GM
DRW05, , 49.2151, 7.1288, EDFF, Terminal, GM
DRW11, , 49.2138, 7.0843, EDFF, Terminal, GM
DRW12, , 49.2144, 6.9375, EDFF, Terminal, GM
DRW13, , 49.2386, 6.9156, EDDR, Terminal, GM
DRW14, , 49.2675, 6.9292, EDDR, Terminal, GM
DRZ, , 35.2892, 40.1874, OSTT, High and Low Level, SY
DS, , -6.9274, 39.1536, HTSS, Terminal, TZ
DS, , 30.2, 106.845, ZPKM, High and Low Level, CH
DS, , 39.4283, 67.2433, UTSS, High and Low Level, UZ
DS010, , 48.6186, 9.2592, EDDS, Terminal, GM
DS011, , 48.6657, 9.5097, EDDS, Terminal, GM
DS014, , 48.6692, 9.1142, EDDS, Terminal, GM
DS020, , 48.9131, 9.34, EDDS, Terminal, GM
DS021, , 48.7816, 9.4992, EDDS, Terminal, GM
DS022, , 48.5658, 8.9839, EDDS, Terminal, GM
DS023, , 48.6854, 8.9148, EDDS, Terminal, GM
DS024, , 48.6474, 9.0006, EDDS, Terminal, GM
DS026, , 48.7113, 9.335, EDDS, Terminal, GM
DS411, , 48.6302, 8.9092, EDDS, Terminal, GM
DS426, , 48.6941, 8.8812, EDDS, Terminal, GM
DS431, , 48.5662, 8.9371, EDDS, Terminal, GM
DS511, , 48.7509, 9.5464, EDDS, Terminal, GM
DS526, , 48.6868, 9.5736, EDDS, Terminal, GM
DS530, , 48.8149, 9.5192, EDDS, Terminal, GM
DS707, , 48.6681, 9.1074, EDDS, Terminal, GM
DS725, , 48.7123, 9.3405, EDDS, Terminal, GM
DT, , 55.4758, 54.8936, UWUU, High and Low Level, RS
DT007, , 52.5836, 13.55, EDDT, Terminal, GM
DT013, , 52.5096, 12.9503, EDDT, Terminal, GM
DT016, , 52.5056, 12.9484, EDDT, Terminal, GM
