# code,name,lat,lon,apt,type,country code
ABAGO, , 56.2917, 144.2367, UHSH, High and Low Level, RS
ABAGU, , 52.5033, -7.6467, EINN, High and Low Level, EI
ABAKO, , 37.1839, 16.6661, LIRR, RNAV, IT
ABALA, , 66.6582, 23.0, ESMM, RNAV, SW
ABALI, , 55.545, 68.0217, USUU, High and Low Level, RS
ABALO, , 32.3311, -18.1303, LPPC, RNAV, PO
ABAMA, , 57.9866, 15.5696, ESMM, RNAV, SW
ABAMI, , 51.425, 7.2806, EDLL, High and Low Level, GM
ABANA, , 67.4686, -50.9683, BGGL, Low Level, GL
ABANI, , 41.205, 64.92, UTTT, High and Low Level, UZ
ABANO, , 54.1292, 9.5, EDVV, RNAV, GM
ABAPO, , -18.8786, -58.3045, SLLF, RNAV, BL
ABAPO, , 3.9364, -67.3553, SVZM, Low Level, VE
ABAPO, , 52.1028, -4.8033, EGTT, High Level, UK
ABARA, , 61.1833, 50.85, UUYY, High and Low Level, RS
ABARB, , -32.8517, 154.9347, YBBB, High and Low Level, AS
ABARI, , 47.4155, 6.9413, LFEE, RNAV, FR
ABARO, , 52.1233, 48.5633, UWWW, High and Low Level, RS
ABASA, , -4.9478, 107.261, WIIZ, High and Low Level, ID
ABASA, , 24.4429, 123.216, RORG, High and Low Level, JA
ABASE, , -5.7301, -37.7694, SBRE, RNAV, BR
ABASO, , 53.9761, 11.4339, EDWW, RNAV, GM
ABASS, , -34.5833, 150.9433, YMMM, High and Low Level, AS
ABATE, , -14.3911, -58.8371, SBAZ, High Level, BR
ABATI, , 34.8294, 10.9594, DTDT, Low Level, TS
ABATO, , 30.5372, -8.5531, GMMM, Low Level, MO
ABATU, , 44.5447, 25.6748, LROP, Terminal, RO
ABAXA, , 50.7647, 7.3858, EDDF, Terminal, GM
ABAXI, , 66.785, 15.8758, ENBD, RNAV, NO
ABB, , 50.1351, 1.8547, LFFF, High and Low Level, FR
ABBAS, , 33.4333, 37.7263, OSTT, High and Low Level, SY
ABBOT, , 24.1517, -94.5693, MMFR, High and Low Level, MX
ABBOT, , 52.0233, 0.5986, EGSS, Terminal, UK
ABC, , 9.0378, 7.2851, DNKK, High and Low Level, NI
